ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
3999	Matis	forest	ni	ni	n i	None	198		['n', 'i', '-', '-', '(', '-', '-', '-', '-', '-', '-', ')']	144
4000	Mayoruna	forest	ni	ni	n i	None	198		['n', 'i', '-', '-', '(', '-', '-', '-', '-', '-', '-', ')']	144
4001	Mayoruna	forest	nimëduc	nimëduc	n i m ɛ d u c	None	198		['n', 'i', '-', '-', '(', '-', 'm', 'ɛ', 'd', 'u', 'c', ')']	145
603	Proto-Panoan	fresh water	ʔoma-paʂa	ʔoma-paʂa	ʔ o m a p a ʂ a	None	292		['(', '-', '-', '-', '-', '-', ')', 'ʔ', 'o', 'm', 'a', '(', '+', ')', 'p', 'a', 'ʂ', 'a']	146
604	Kakataibo	fresh water	ʔõpáʂ	ʔõpáʂ	ʔ õ p á/a ʂ	None	292		['(', '-', '-', '-', '-', '-', ')', 'ʔ', 'õ', '-', '-', '(', '-', ')', 'p', 'á/a', 'ʂ', '-']	146
605	ShipiboKonibo	fresh water	ʔõpáʂ	ʔõpáʂ	ʔ õ p á/a ʂ	None	292		['(', '-', '-', '-', '-', '-', ')', 'ʔ', 'õ', '-', '-', '(', '-', ')', 'p', 'á/a', 'ʂ', '-']	146
606	Kapanawa	fresh water	ʔompa	ʔompa	ʔ o m p a	None	292		['(', '-', '-', '-', '-', '-', ')', 'ʔ', 'o', 'm', '-', '(', '-', ')', 'p', 'a', '-', '-']	146
607	Marubo	fresh water	ˈwakapaʃa	ˈwakapaʃa	w a k a p a ʃ a	None	292		['(', 'w', '-', 'a', 'k', 'a', ')', '-', '-', '-', '-', '(', '-', ')', 'p', 'a', 'ʃ', 'a']	146
609	Marubo	fresh water	paʃa	paʃa	p a ʃ a	None	292		['(', '-', '-', '-', '-', '-', ')', '-', '-', '-', '-', '(', '-', ')', 'p', 'a', 'ʃ', 'a']	146
610	Chakobo	fresh water	hɨnɨ_paʂa	hɨnɨ_paʂa	h ɨ n ɨ p a ʂ a	None	292		['(', '-', 'h', 'ɨ', 'n', 'ɨ', ')', '-', '-', '-', '-', '(', '+', ')', 'p', 'a', 'ʂ', 'a']	146
611	Yaminawa	fresh water	ɞ̃ˈpaʂ	ɞ̃ˈpaʂ	ɞ̃ p a ʂ	None	292		['(', '-', '-', '-', '-', '-', ')', '-', 'ɞ̃', '-', '-', '(', '-', ')', 'p', 'a', 'ʂ', '-']	146
612	Kaxinawa	fresh water	ũpaʂ	ũpaʂ	ũ p a ʂ	None	292		['(', '-', '-', '-', '-', '-', ')', '-', 'ũ', '-', '-', '(', '-', ')', 'p', 'a', 'ʂ', '-']	146
613	Matis	fresh water	uma	uma	u m a	None	292		['(', '-', '-', '-', '-', '-', ')', '-', 'u', 'm', 'a', '(', '-', ')', '-', '-', '-', '-']	146
615	Mayoruna	fresh water	uma	uma	u m a	None	292		['(', '-', '-', '-', '-', '-', ')', '-', 'u', 'm', 'a', '(', '-', ')', '-', '-', '-', '-']	146
1954	Chakobo	fresh water	hɨnɨ_paʂa	hɨnɨ_paʂa	h ɨ n ɨ p a ʂ a	None	37		['h', 'ɨ', 'n', 'ɨ', '(', '+', 'p', 'a', 'ʂ', 'a', ')']	146
1955	Yaminawa	fresh water	ɨdɨ	ɨdɨ	ɨ d ɨ	None	37		['-', 'ɨ', 'd', 'ɨ', '(', '-', '-', '-', '-', '-', ')']	148
4624	Marubo	fresh water	paʂa	paʂa	p a ʂ a	None	249		['p', 'a', 'ʂ', 'a']	146
6704	Yaminawa	fresh water	ɸaka	ɸaka	ɸ a k a	None	412		['ɸ', 'a', 'k', 'a', '-', '(', '-', '-', '-', '-', '-', ')']	147
6706	Katukina	fresh water	waka	waka	w a k a	None	412		['w', 'a', 'k', 'a', '-', '(', '-', '-', '-', '-', '-', ')']	147
6713	Matis	fresh water	waka	waka	w a k a	None	412		['w', 'a', 'k', 'a', '-', '(', '-', '-', '-', '-', '-', ')']	147
1446	Proto-Panoan	fruit	βimi	βimi	β i m i	None	508		['β', 'i', 'm', 'i', '(', '-', ')']	149
1447	Kakataibo	fruit	βimi	βimi	β i m i	None	508		['β', 'i', 'm', 'i', '(', '-', ')']	149
1448	ShipiboKonibo	fruit	βimi	βimi	β i m i	None	508		['β', 'i', 'm', 'i', '(', '-', ')']	149
1449	Kapanawa	fruit	βimi	βimi	β i m i	None	508		['β', 'i', 'm', 'i', '(', '-', ')']	149
1450	Marubo	fruit	ˈvimi	ˈvimi	v i m i	None	508		['v', 'i', 'm', 'i', '(', '-', ')']	149
1451	Chakobo	fruit	βimi	βimi	β i m i	None	508		['β', 'i', 'm', 'i', '(', '-', ')']	149
1452	Kaxarari	fruit	biˈmi	biˈmi	b i m i	None	508		['b', 'i', 'm', 'i', '(', '-', ')']	149
1453	Yaminawa	fruit	ɸimi	ɸimi	ɸ i m i	None	508		['ɸ', 'i', 'm', 'i', '(', '-', ')']	149
1454	Chaninawa	fruit	ɸibi	ɸibi	ɸ i b i	None	508		['ɸ', 'i', 'b', 'i', '(', '-', ')']	149
1455	Chaninawa	fruit	huibi	huibi	h u i b i	None	596		['h', '(', 'u', ')', 'i', 'b', 'i', '-']	150
1456	Sharanawa	fruit	ɸimi	ɸimi	ɸ i m i	None	508		['ɸ', 'i', 'm', 'i', '(', '-', ')']	149
1457	Sharanawa	fruit	ɸimin	ɸimin	ɸ i m i n	None	508		['ɸ', 'i', 'm', 'i', '(', 'n', ')']	149
