Grapheme	IPA	Examples	Languages	Frequence	Codepoints
ʃ$	ʃ	βi᷈píʃ, yawíʃ	ShipiboKonibo, Kapanawa, Kaxinawa, Kakataibo, Korubo, Katukina, Chakobo, Amawaka, Yawanawa	27	U+0283 U+0024
ṍ$	ṍ	tɨtṍ, βatṍ	Kakataibo, ShipiboKonibo, Marinawa	25	U+1e4d U+0024
ɨ́́$	ɨ́	ʂɨkɨ́́, raβɨ́́	Marinawa, ShipiboKonibo, Kakataibo, Kapanawa	25	U+0268 U+0301 U+0301 U+0024
ˈn	n	tʃiˈna, saˈnino	Chakobo, Kaxarari, Mayoruna, ShipiboKonibo, Marubo, Kapanawa, Amawaka	24	U+02c8 U+006e
^e	e	examinar, ella	Sharanawa, Mayoruna, ShipiboKonibo, Kapanawa, Kakataibo, Kaxinawa, Yaminawa, Chakobo, Marinawa, Korubo	23	U+005e U+0065
oo$	oo	ʂoo, koo	Chaninawa, Chakobo, Kapanawa, Kakataibo, Yaminawa, Amawaka, ShipiboKonibo, Sharanawa, Mayoruna	22	U+006f U+006f U+0024
ˈk	k	aˈka, kɨʂaˈka	Chakobo, Marubo, Kaxarari, Mayoruna, MattisList, Kakataibo	21	U+02c8 U+006b
ll	ll	arcilla, ella	Sharanawa, Mayoruna, Kaxinawa, Yaminawa, Amawaka, ShipiboKonibo	21	U+006c U+006c
^kw	kʷ	kwɨnã, kwɨbí	Kakataibo, Korubo	21	U+005e U+006b U+0077
f	f	nifu, aʂfua	Shanenawa, Mayoruna, Kaxinawa, Amawaka, ShipiboKonibo, Chakobo, Marinawa	20	U+0066
ˈm	m	ʔaˈmɨ᷈, haˈmahi	Kaxarari, Chakobo, Marubo, Kakataibo, ShipiboKonibo, Katukina, Kapanawa	19	U+02c8 U+006d
^a$	a	a, a-	Sharanawa, Kaxinawa, Marubo, Yaminawa, Chaninawa, MattisList, Shanenawa, Kaxarari, Kakataibo, Marinawa, Mayoruna, Poyanawa, Yawanawa, Korubo	18	U+005e U+0061 U+0024
oo	oo	tsoot, tootí	Amawaka, Sharanawa, Kakataibo, Yaminawa, Chakobo, Kapanawa	18	U+006f U+006f
t$	t	atet, awat	Korubo, Kakataibo, Mayoruna	17	U+0074 U+0024
u᷈	u᷈	nu᷈y, nu᷈nu᷈	Poyanawa, Marubo, Katukina, Kakataibo	17	U+0075 U+1dc8
ˈw	w	bɨtʃiˈwɨ, ʔaˈwa	Kaxarari, Marubo, Chakobo, ShipiboKonibo, Kapanawa, Amawaka	16	U+02c8 U+0077
^l	l	la, lo	Amawaka, Mayoruna, Sharanawa, Kaxarari, ShipiboKonibo, Chakobo, Korubo	16	U+005e U+006c
rr	rr	tierra_firme, derrubar	Mayoruna, Sharanawa, Kakataibo, ShipiboKonibo, Shanenawa, Kaxinawa, Amawaka	15	U+0072 U+0072
.	<?>	colmillo._C.L._muela._Pico_de_papagayo, ɨ́ḱ_ɨ...	Mayoruna, MattisList, Kaxinawa, Sharanawa, Kapanawa	15	U+002e
ch	ch	muchacho, trocha	Mayoruna, Kaxinawa, Yaminawa, Sharanawa, Kapanawa, Kakataibo, Marinawa, Amawaka	15	U+0063 U+0068
^ˈk	k	ˈkɨɾɨʂa, ˈkɨnɨ	Chakobo, Marubo, Kaxarari, ShipiboKonibo	15	U+005e U+02c8 U+006b
j	j	hija, hijo	Kaxinawa, Mayoruna, ShipiboKonibo, Amawaka, Sharanawa, Chakobo, Kaxarari, Marinawa	14	U+006a
ɨ᷈	ɨ᷈	kɨ᷈tʃá, βɨ᷈βoo	Amawaka, ShipiboKonibo, Kakataibo, Kaxinawa, Marinawa, Yawanawa	14	U+0268 U+1dc8
ɸ$	ɸ	ʃikuɸ, ʂɔɔɸ	Kakataibo, Kapanawa, Kaxinawa, Marinawa, ShipiboKonibo, Marubo, Yaminawa, Mayoruna	13	U+0278 U+0024
^ˈh	h	ˈhana, ˈhisisa	Chakobo, Amawaka	13	U+005e U+02c8 U+0068
z	z	corteza, fuerza	Mayoruna, Kaxinawa, ShipiboKonibo, Sharanawa, Chakobo, Amawaka	13	U+007a
^ã	ã	ãi᷈, ãdiβu	Poyanawa, Kaxinawa, Marinawa, Kakataibo, Marubo, Yaminawa, Amawaka	12	U+005e U+00e3
^í	í	ínai, íwɨ	Marinawa	12	U+005e U+00ed
ii	ii	tʃiwii-_II, riswii_I	Amawaka, Sharanawa, Chaninawa, Kapanawa	12	U+0069 U+0069
ˈt	t	haˈti, baˈta	Chakobo, Kaxarari, Mayoruna, ShipiboKonibo, Kapanawa	12	U+02c8 U+0074
ã́	ã́	kãkã́_o_kãká, mã́i᷈	Marinawa, Kakataibo, ShipiboKonibo, Kaxinawa	12	U+00e3 U+0301
kw	kʷ	takwa, mɨkɨkwe_o_mɨkwe	Kakataibo, Korubo, Mayoruna	12	U+006b U+0077
ɨɨ$	ɨɨ	mɨɨ, mɨɨ-	Amawaka, Kakataibo, ShipiboKonibo, Chakobo	12	U+0268 U+0268 U+0024
ˈʂ	ʂ	uˈʂɨ, ʔaˈʂã-	Kaxarari, Mayoruna, ShipiboKonibo, Katukina, MattisList, Shanenawa, Kapanawa, Kakataibo, Marubo	11	U+02c8 U+0282
’$	<?>	ʔísinɸʔísinínɸ’dor’, βinu-βai’	Kaxinawa, Amawaka, Kakataibo, Chaninawa, Katukina, Chakobo	11	U+2019 U+0024
^ˈn	n	ˈnɨiʔno, ˈnai	Marubo, Chakobo, ShipiboKonibo, Kapanawa	11	U+005e U+02c8 U+006e
^á	á	ákápórá, áwa	Marinawa, Chakobo, Kapanawa, Marubo	10	U+005e U+00e1
ˈs	s	itsiˈsi, mɨtʃiˈsi	Chakobo, Kaxarari, Katukina, Marubo, Mayoruna	10	U+02c8 U+0073
ˈp	p	kaˈpɨ, joˈpɨʂɨ__hopɨ́ʂɨ	Chakobo, Marubo, Mayoruna, Katukina, Kaxarari	10	U+02c8 U+0070
